Type: Broadcast | Time: 2024-03-11 01:38:24.897092 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 19 | Flags: B
Type: Broadcast | Time: 2024-03-11 01:38:24.897299 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 19 | Flags: B
Type: Broadcast | Time: 2024-03-11 01:38:24.897357 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 19 | Flags: B
Type: Broadcast | Time: 2024-03-11 01:38:24.897400 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 19 | Flags: B
Type: Broadcast | Time: 2024-03-11 01:38:46.036986 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 30 | Flags: V
Type: Broadcast | Time: 2024-03-11 01:38:46.037002 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 30 | Flags: V
Type: Broadcast | Time: 2024-03-11 01:38:46.037029 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 30 | Flags: V
Type: Broadcast | Time: 2024-03-11 01:38:46.037262 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 30 | Flags: V
Type: Unicast | Time: 2024-03-11 01:38:46.038034 | Source IP: 172.20.0.6 | Destination IP: 172.20.0.2 | Source Port: 12345 | Destination Port: 6969 | Protocol: UDP | Length: 14 | Flags: U
Type: Unicast | Time: 2024-03-11 01:38:46.038255 | Source IP: 172.20.0.4 | Destination IP: 172.20.0.2 | Source Port: 12345 | Destination Port: 6969 | Protocol: UDP | Length: 14 | Flags: U
Type: Unicast | Time: 2024-03-11 01:38:46.038387 | Source IP: 172.20.0.5 | Destination IP: 172.20.0.2 | Source Port: 12345 | Destination Port: 6969 | Protocol: UDP | Length: 14 | Flags: U
Type: Unicast | Time: 2024-03-11 01:38:46.038505 | Source IP: 172.20.0.3 | Destination IP: 172.20.0.2 | Source Port: 12345 | Destination Port: 6969 | Protocol: UDP | Length: 14 | Flags: U
Type: Unicast | Time: 2024-03-11 01:39:01.381603 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 19 | Flags: U
Type: Broadcast | Time: 2024-03-11 01:39:18.775820 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 31 | Flags: B
Type: Broadcast | Time: 2024-03-11 01:39:18.775821 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 31 | Flags: B
Type: Broadcast | Time: 2024-03-11 01:39:18.776160 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 31 | Flags: B
Type: Broadcast | Time: 2024-03-11 01:39:18.776216 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 31 | Flags: B
Type: Broadcast | Time: 2024-03-11 01:39:36.468941 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 30 | Flags: V
Type: Broadcast | Time: 2024-03-11 01:39:36.468942 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 30 | Flags: V
Type: Broadcast | Time: 2024-03-11 01:39:36.469060 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 30 | Flags: V
Type: Broadcast | Time: 2024-03-11 01:39:36.469163 | Source IP: 172.20.0.2 | Destination IP: 0.0.0.0 | Source Port: 6969 | Destination Port: 12345 | Protocol: UDP | Length: 30 | Flags: V
Type: Unicast | Time: 2024-03-11 01:39:36.469669 | Source IP: 172.20.0.5 | Destination IP: 172.20.0.2 | Source Port: 12345 | Destination Port: 6969 | Protocol: UDP | Length: 14 | Flags: U
Type: Unicast | Time: 2024-03-11 01:39:36.469810 | Source IP: 172.20.0.6 | Destination IP: 172.20.0.2 | Source Port: 12345 | Destination Port: 6969 | Protocol: UDP | Length: 14 | Flags: U
Type: Unicast | Time: 2024-03-11 01:39:36.469968 | Source IP: 172.20.0.3 | Destination IP: 172.20.0.2 | Source Port: 12345 | Destination Port: 6969 | Protocol: UDP | Length: 14 | Flags: U
Type: Unicast | Time: 2024-03-11 01:39:36.470146 | Source IP: 172.20.0.4 | Destination IP: 172.20.0.2 | Source Port: 12345 | Destination Port: 6969 | Protocol: UDP | Length: 14 | Flags: U
